pregunta,categoria,opcion1,opcion2,opcion3,opcion4,opcion5,opcion6,opcion7,opcion8,correctas,explicacion
Ciencia e Ingeniería se han desarrollado en forma paralela y complementaria. Identifique cuál o cuáles las siguientes afirmaciones son correctas:,Conceptos Generales,El objetivo de la ciencia es resolver problemas por la aplicacion de teorias,"La finalidad de la ingenieria es la busqueda de conocimiento, a fin de entender de una forma logica y racional el entorno",El ingeniero busca conocer. Aplicar sus conocimientos para incrementar ese mismo conocimiento,"La ingenieria se basa en el ""hacer"", aplicar el conocimiento para resolver problemas del mundo real","La ciencia se basa en ""saber"", implica la busqueda del conocimiento para explicar los hechos que ocurren en nuestro mundo","La ingenieria es la aplicacion de diferentes conocimientos para de ese modo poder satisfacer distintas necesidades del ser humano, es la aplicacion del conocimiento",,,4;5;6,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Cuando se está haciendo un estudio preliminar y se desea medir la opinión general de muchas personas antes de que se determine el rumbo que tomara el proyecto de sistemas, es aconsejable la técnica:",Técnicas de Recolección de Datos,Entrevista,Brainstorming,Observacion,Cuestionario,,,,,4,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
Cuando se tiene un conjunto de requisitos que no es perfecto pero que es lo suficientemente bueno para permitir que el equipo continúe con la construcción con un nivel aceptable de riesgo dentro de las limitaciones conocidas del proyecto se debe:,Ingeniería de Requisitos,Hacer el analisis y la negociacion de requisitos,Establecer la linea base de los requisitos,Hacer el documento de vision y alcance,Hacer el estudio de viabilidad del proyecto,,,,,1,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Fase en la que se realiza si es necesario la conversión de datos, entrenamiento de usuarios, corrección de defectos de la versión beta y ayuda en línea.",Proceso Unificado,Elaboracion,Inicio,Construccion,Transicion,,,,,4,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
Cuando la entrevista comienza con preguntas generales y abiertas y luego se van focalizando utilizando preguntas cerradas es,Técnicas de Recolección de Datos,No Estructurada,Con Estructura de Embudo,Con Estructura de Piramide,Con Estructura de Rombo,,,,,2,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
Cual de las siguientes NO es una ventaja de utilizar preguntas abiertas en una entrevista:,Técnicas de Recolección de Datos,Permiten mas espontaneidad,Hacen mas interesante las entrevistas para el entrevistado,Facilita mantener el control durante la entrevista,Revelan nuevas lineas de preguntas que pudieron haber pasado desapercibidas,,,,,4,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
Cual de las siguientes consideraciones NO es apropiada para caracterizar al estudio de Viabilidad:,Gestión de Proyectos,Un compromiso por parte de los directivos de la organizacion en esta etapa tan solo significa que se realizara un estudio de sistema,Es util para desechar los proyectos que se cotraponen con los objetivos de la organizacion,"Aunque es muy laborioso, vale la pena y al final ahorra a las empresas y a los analistas de sistemas una considerable cantidad de tiempo y dinero",Es una decision a cargo del analista de sistema sobre si resulta conveniente seguir con el proyecto,,,,,1,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
En el nivel superior de la Organización se necesita un gran volumen de información y que sea detallada.,Sistemas de Información,Verdadero,Falso,,,,,,,2,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
Los proyectos de sistema inician:,Gestión de Proyectos,Cuando la organizacion tiene dinero disponible para invertir en tecnologia,Solo cuando la organizacion quiere resolver un problema,Cuando la organizacion tiene un problema a resolver o una oportunidad de mejorar,Siempre para resolver un problema que tiene la organizacion,,,,,3,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"De qué tipo es el siguiente requisito: ""El MHC-PMS estará disponible para todas las clínicas durante las horas normales de trabajo (lunes a viernes, 08:30 - 17:30). El tiempo de inactividad dentro de las horas normales de trabajo no excederá de cinco segundos en el día""",Ingeniería de Requisitos,No Funcional Organizacional,No Funcional Externo,Funcional,No Funcional del Producto,,,,,4,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
En el manifiesto ágil se valora más una serie de cosas frente a otras. Cuál de las siguientes afirmaciones es correcta:,Metodologías Ágiles,Hay que potenciar la colaboracion con el cliente frente a la negociacion de contratos precisos,Hay que potenciar la colaboracion con el cliente frente a la documentacion exhaustiva,Si se plantean cambios con posterioridad a la planificacion hay que ajustarse el plan,Se valoran los procesos y las herramientas por encima de los individuos y las interacciones,,,,,1,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
Cuales de las siguientes actividades enunciadas son responsabilidad del Product Owner,Metodologías Ágiles,"Gestionar el Product Backlog en su totalidad, ordenando y priorizando conforme al valor para el negocio",Asegurarse que el equipo de trabajo funcione correctamente,Crear conciencia sobre las practicas de Scrum entre los miembros del equipo Scrum,Gestionar el progreso del trabajo durante el Sprint,"Estar accesible, y disponible, para explicar al equipo tecnico dudas funcionales, para validar entregas y participar en reuniones",Asegurarse que las Reuniones Diarias (Daily) se lleven a cabo de manera oportuna y estructurada,,,1;5,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
Principios básicos de XP son:,Metodologías Ágiles,"El cliente en el sitio, Comunicacion, Estandar de codificacion y Codificacion simple","El cliente en el sitio, Programacion en parejas, Estandar de codificacion y Diseño simple","Comunicacion, simpleza, retroalimentacion, valentia y respeto","Dueño del producto, comunicacion, retrospectiva y diseño simple",,,,,2,"La respuesta correcta es El cliente en el sitio, Programacion en parejas, Estandar de codificacion y Diseño simple. De acuerdo con el material de evaluación incluido en las fuentes, esta es la combinación de elementos considerada como la respuesta correcta a tu pregunta. Para comprender por qué esta es la opción válida según la teoría, es importante distinguir cómo la Programación Extrema (XP) clasifica sus conceptos: ● Prácticas o ""Principios"" operativos: La metodología XP se basa en 12 prácticas fundamentales que dictan cómo se debe trabajar. Las mencionadas en la respuesta correcta pertenecen a estas prácticas: tener al cliente en el sitio (On site Customer), utilizar la programación en parejas (Pair Programming), establecer un estándar de codificación y aplicar un diseño simple. ● Valores de XP: La opción que indica ""Comunicación, simpleza, retroalimentación, valentía y respeto"" es incorrecta para este enunciado en particular porque esos no se catalogan como principios o prácticas, sino explícitamente como los cinco valores fundamentales sobre los cuales se sostiene el comportamiento del equipo XP. ● Elementos de otras metodologías: La opción que menciona ""Dueño del producto, retrospectiva..."" es incorrecta porque esos son roles y reuniones que pertenecen específicamente a la metodología Scrum, no a XP. Y la opción restante es incorrecta porque emplea el término inventado ""Codificación simple"" en lugar de la práctica real que es el ""Diseño simple""."
Cual de las siguientes NO son reglas en la realización de brainstorming,Técnicas de Recolección de Datos,Se debe generar un gran numero de ideas,Todos los participantes deben pertenecer a un unico departamento,Se evitan las ideas mas avanzadas y se impide a los participantes a generar nuevas ideas,Se prohibe la critica de ideas,Se debe alentar a los participantes a combinar o completar las ideas de otros participantes,,,,2;3,"La respuesta correcta es Se evitan las ideas mas avanzadas y se impide a los participantes a generar nuevas ideas. De acuerdo con las fuentes, esta afirmación es exactamente lo opuesto a las reglas reales del brainstorming (o lluvia de ideas). La teoría establece explícitamente que, durante la fase de generación, ""se fomentan las ideas más avanzadas y se estimula a los participantes a generar nuevas ideas"", dejando que la imaginación vuele sin ningún tipo de autocensura. Las demás opciones presentadas en tu consulta son incorrectas para este enunciado porque SÍ corresponden a reglas fundamentales para asegurar una tormenta de ideas efectiva: ● Se debe generar un gran número de ideas: La meta principal en esta fase es priorizar la cantidad (amplitud) de ideas por sobre el análisis de su calidad inmediata. ● Se prohíbe la crítica de ideas: Mientras se generan las propuestas, no se permite ninguna crítica, evaluación, juicio o debate, ya que esto inhibe la creatividad y frena la participación. ● Se debe alentar a los participantes a combinar o completar las ideas de otros participantes: Se busca refinar, combinar y amplificar (o hacer ""piggyback"") sobre las ideas ya generadas, utilizándolas como semilla para originar nuevas alternativas conjuntas."
"Sobre el Scrum Team, cuál es la afirmación falsa",Metodologías Ágiles,Cada miembro del equipo tiene que tener un rol especifico y no puede asumir tareas que no eten dentro de su area de especializacion,"Los miembros del equipo deben tener un perfil en T (manejo en una serie amplia de areas, con conocimientos en profundidad en unas pocas)",Cada miembro del equipo puede asumir cualquier tipo de tarea,Cada miembro del equipo puede tener un conocimiento mas amplio sobre un area especifica,,,,,1,"La respuesta correcta (la afirmación falsa) es Cada miembro del equipo tiene que tener un rol especifico y no puede asumir tareas que no eten dentro de su area de especializacion. De acuerdo con las fuentes, en Scrum el equipo de desarrollo (Development Team) se caracteriza por ser multifuncional e interfuncional. La teoría establece explícitamente que dentro del equipo ""no existen especialistas exclusivos, sino más bien individuos generalistas con capacidades especiales"". Además, todos son considerados simplemente ""miembros del equipo"" sin subtítulos ni jerarquías internas. La idea fundamental es que el equipo no dependa de una sola persona; si alguien con una capacidad especial (por ejemplo, el administrador de la base de datos) está ausente, las tareas aún deben poder llevarse a cabo porque ""entre todos debemos poder colaborar"". Por lo tanto, afirmar que un miembro está encasillado en un rol específico y tiene prohibido asumir tareas fuera de su especialidad contradice los principios de auto-organización y trabajo colaborativo (perfil en ""T"") que exige el marco de trabajo Scrum."
Cual de las siguientes afirmaciones son válidas para definir a las metodologías Orientadas a Objetos:,Orientación a Objetos,Las Propiedades del Objeto se representa en sus metodos,Los Objetos se analizan desde lo general a lo particular,Se ven a los sistemas como un conjunto de objetos que colaboran entre si,Los objetos se analizan desde lo particular a lo general,Cualquiera de las clases se puede instanciar,,,,3;4,"La respuesta correcta (la afirmación falsa) es Cada miembro del equipo tiene que tener un rol especifico y no puede asumir tareas que no eten dentro de su area de especializacion. De acuerdo con las fuentes, en Scrum el equipo de desarrollo (Development Team) se caracteriza por ser multifuncional e interfuncional. La teoría establece explícitamente que dentro del equipo ""no existen especialistas exclusivos, sino más bien individuos generalistas con capacidades especiales"". Además, todos son considerados simplemente ""miembros del equipo"" sin subtítulos ni jerarquías internas. La idea fundamental es que el equipo no dependa de una sola persona; si alguien con una capacidad especial (por ejemplo, el administrador de la base de datos) está ausente, las tareas aún deben poder llevarse a cabo porque ""entre todos debemos poder colaborar"". Por lo tanto, afirmar que un miembro está encasillado en un rol específico y tiene prohibido asumir tareas fuera de su especialidad contradice los principios de auto-organización y trabajo colaborativo (perfil en ""T"") que exige el marco de trabajo Scrum."
Cual de las siguientes es una ventaja de utilizar preguntas cerradas en una entrevista:,Técnicas de Recolección de Datos,Ayudan a forjar una relacion cercana entre el entrevistador y el entrevistado,Facilitan la comparacion de varias entrevistas,Hacen mas interesante la entrevista para el entrevistado,Permiten obtener gran cantidad de detalles [ debido a que el entrevistador proporciona el marco de referencia para el entrevistado ],,,,,2,"La respuesta correcta es Facilitan la comparacion de varias entrevistas.
De acuerdo con las fuentes, los beneficios o ventajas principales de utilizar preguntas
cerradas en una entrevista incluyen:
● Ahorro de tiempo.
● Se pueden comparar las entrevistas con facilidad.
● Van directo al grano y se tratan muchos temas rápidamente.
● Se mantiene el control sobre la entrevista.
● Se obtienen datos relevantes.
Las otras opciones listadas corresponden en realidad a ventajas de las preguntas abiertas o
son, de hecho, desventajas de las preguntas cerradas. Por ejemplo, las preguntas cerradas
suelen ser aburridas para el entrevistado (no las hacen más interesantes) y no proporcionan
detalles adicionales justamente porque el entrevistador es quien provee el marco de
referencia. "
Identifique en las siguientes características cuales s las que debe tener un requisito,Ingeniería de Requisitos,Completo,Barato,Necesario,Posible,Ambiguo,Priorizado,,,1;3;4;6,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
Ingeniería de Requerimientos. Relacione las siguientes afirmaciones con sus correspondientes conceptos.,Ingeniería de Requisitos,Concreto,Negociacion,Necesario,Educcion de requisitos,Requisito Verificable,Verificacion,Ingenieria de Requisitos,Linea Base,1=9;2=10;9=11;4=12;5=13;6=14;7=15;8=16,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
En modelo de dominio es mas importante identificar las asociaciones que los conceptos,Modelado de Sistemas,Verdadero,Falso,,,,,,,2,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
Cuál de las siguientes consideraciones NO sería apropiada para caracterizar a un proyecto,Gestión de Proyectos,Se realiza un diseño y luego se fabrica varias veces en base al mismo,Se requieren objetivos especificos a alcanzar o un producto especifico a crear,Existen restricciones sobre los recursos a utilizar en su desarrollo,El trabajo se realiza por varias personas que pueden tener distintas especializaciones,,,,,1,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"En las Historias de Usuario, el describir siempre un contexto, un evento y la respuesta o consecuencia esperada se utiliza para:",Metodologías Ágiles,Escribir los Criterios de Aceptacion de la Historia de Usuario,El post-it de la Historia de Usuario que se utiliza como la especificacion de requisitos,La conversacion de la Historia de Usuario que se mantiene con el Scrum Master,"Las descripcion breve, de una funcionalidad del software tal y como la percibe el usuario",,,,,1,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
Orientación a Objetos. Relacione las siguientes afirmaciones con sus correspondientes conceptos. Un mismo concepto se puede aplicar a varias afirmaciones.,Orientación a Objetos,Encapsulamiento,Atributos,Comportamiento,Polimorfismo,Clase,Cualidad de los objetos de ocultar detalles de implementacion y su estado interno,Se utilizan para representar aquellas caracteristicas propias del objeto y a los objetos con los que debera colaborar a lo largo de su vida,"Indica que sabe hacer el objeto, cuales son sus responsabildiades",1=6;2=7;3=8;4=9;5=10,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
En Scrum el responsable de priorizar las funcionalidades de acuerdo con su valor para la organización es,Metodologías Ágiles,Cliente,Product Owner,Scrum Master,Team,,,,,2,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
Proceso Unificado. Relacione las siguiente afirmaciones con sus correspondientes conceptos. Un mismo concepto se puede aplicar a varias afirmaciones. Utilice Ninguno es Válido cuando no encuentre el concepto correspondiente.,Proceso Unificado,Ciclo o Miniproyecto,Arquitecto,Transicion,Analista de Sistema,Captura de Requisitos,Elaboracion,Fase,Ninguno es Valido,1=9;2=10;3=11;4=12;5=13;6=14;7=15;8=16;3=17,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
"Todo objeto tiene ______. / ______ es el conjunto de mensajes a los cuales un objeto puede responder. / El ______ de un objeto condiciona sus ______ comportamientos. / Al enviarle un ______ a un objeto, este responde activando el ______ asociado.",Orientación a Objetos,1. identidad + estado + comportamiento,2. Protocolo,3. Estado,4. futuros,5. Mensaje,6. Metodo,,,1;2;3;4;5;6,"Correctas verificadas contra el PDF ""Apunte Burplero Final""."
